Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
12,3,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.5031,0.2461,0.0,0.0,0.2256,0.0979,0.5574
12,4,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.4992,0.0786,0.0,0.0,0.2898,0.0691,0.5478
12,5,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.4583,0.5672,0.0,0.0,0.323,0.0528,0.4974
12,6,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.4101,0.6994,0.0,0.0,0.3304,0.0424,0.4411
12,7,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.3653,0.2493,0.0,0.0,0.3218,0.0353,0.3903
12,8,1988,0.1654,0.1737,0.0667,0.0822,0.1438,0.0722,-0.1526,0.0442,0.0368,0.3266,0.2859,0.0,0.0,0.3054,0.03,0.3472
12,9,1989,0.3148,0.0695,0.0811,0.1769,0.1595,0.0439,-0.0284,0.0465,0.0332,0.294,0.108,0.0,0.0,0.2862,0.0261,0.3113
12,10,1990,-0.0306,-0.2792,0.075,0.0624,0.0628,-0.0069,-0.0311,0.0611,0.0374,0.2665,-0.232,0.0,0.0,0.2668,0.023,0.2814
13,1,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.2306,-0.0086,0.0,0.0,0.0599,0.3766,0.2444
13,2,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.4186,0.2461,0.0,0.0,0.1404,0.16,0.4616
13,3,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.5031,0.0786,0.0,0.0,0.2256,0.0979,0.5574
13,4,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.4992,0.5672,0.0,0.0,0.2898,0.0691,0.5478
13,5,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.4583,0.6994,0.0,0.0,0.323,0.0528,0.4974
13,6,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.4101,0.2493,0.0,0.0,0.3304,0.0424,0.4411
13,7,1988,0.1654,0.1737,0.0667,0.0822,0.1438,0.0722,-0.1526,0.0442,0.0368,0.3653,0.2859,0.0,0.0,0.3218,0.0353,0.3903
13,8,1989,0.3148,0.0695,0.0811,0.1769,0.1595,0.0439,-0.0284,0.0465,0.0332,0.3266,0.108,0.0,0.0,0.3054,0.03,0.3472
13,9,1990,-0.0306,-0.2792,0.075,0.0624,0.0628,-0.0069,-0.0311,0.0611,0.0374,0.294,-0.232,0.0,0.0,0.2862,0.0261,0.3113
13,10,1991,0.3023,0.4627,0.0538,0.15,0.1893,-0.0017,-0.0856,0.0306,0.0311,0.2665,0.125,0.0,0.0,0.2668,0.023,0.2814
14,1,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.2306,0.2461,0.0,0.0,0.0599,0.3766,0.2444
